METID,Name,Mass,Height,RT,Area,Score,Ions,EXPID,td,to,te,fio,fik,pH,tg,Temp,Mod,F,pHs,pHo,alpha1,alpha2
125,Alprenolol hydrochloride,249.1734,5387498,11.074,33828866,97.92,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
53,Aminophenazone,231.1399,5468764,8.857,28813773,76.84,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
53,Aminophenazone,231.1375,1356722,2.115,18221898,97.71,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
132,Amiodarone hydrochloride,645.0235,19037691,20.548,131349302,99.73,7,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
49,Amitriptyline,277.1834,9097363,14.097,51259379,99.39,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
131,Amlodipine besylate,408.1451,630130,14.053,2936106,99.03,9,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
175,Amoxicillin trihydrate,365.103,112536,3.19,2401114,89.33,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
129,Antazoline phosphate,265.1583,4615338,11.007,26921595,98.84,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
129,Antazoline phosphate,265.1586,227082,0.749,1041706,78.82,2,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
24,Atropine,289.169,2486104,15.441,13812201,80.46,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
24,Atropine,289.1681,4441049,6.259,28311910,98.81,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
213,Azithromycin dihydrate,748.5096,6983336,9.618,31323228,97.94,7,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
263,BU 224 hydrochloride,197.0955,2248515,4.489,15645953,98.61,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
263,BU 224 hydrochloride,197.0955,2364099,4.198,16849916,98.72,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
136,BU 226 hydrochloride,197.0955,2248515,4.489,15645953,98.61,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
136,BU 226 hydrochloride,197.0955,2364099,4.198,16849916,98.72,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
9,Baclofen,213.0555,56402,4.579,415593,93,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
3,Benzophenone,182.0748,32142,4.489,235542,72.93,2,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
3,Benzophenone,182.0737,33400,4.198,250450,75.07,2,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
160,Benzydamine hydrochloride,309.1844,9397448,12.91,53292030,99.55,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
74,Betaxolol,307.2151,6299233,10.85,33224176,99.16,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
163,Bifonazole,310.1476,9435492,15.441,54484876,98.61,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
171,Bisoprolol,325.2258,6405157,9.327,35275251,98.73,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
123,Bromhexine hydrochloride,373.9998,78469,18.218,409004,80.03,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
123,Bromhexine hydrochloride,373.9987,237130,16.315,1573368,71.22,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
123,Bromhexine hydrochloride,373.9998,8073858,12.53,46320011,98.82,7,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
159,Bupropion hydrochloride,239.108,7677978,9.036,48015234,98.51,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
184,Butylparaben,194.0935,392189,6.841,2186920,87.53,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
77,Candesartan,440.1596,771147,22.765,5545055,98.11,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
77,Candesartan,440.1574,117899,7.714,508921,71.04,2,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
19,Carbamazepine,236.0955,1560789,11.903,9895288,97.14,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
19,Carbamazepine,236.0928,1682007,11.096,9294849,82.38,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
19,Carbamazepine,236.0953,5469834,8.857,28817844,98.44,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
57,Carvedilol,406.1906,2890672,13.202,19189270,90.44,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
57,Carvedilol,406.1874,38063,11.231,271340,70.76,2,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
253,Chlormidazole hydrochloride,256.0773,6545826,11.096,36754475,97.51,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
124,Chloropyramine hydrochloride,289.1352,4391404,9.596,29567888,97.87,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
130,Chloroquine diphosphate,319.1819,4802228,4.78,32965849,98.3,6,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
42,Chlorpheniramine,274.1242,4140970,7.289,25524915,96.99,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
46,Chlorpromazine,318.0961,11257596,14.747,63974200,99.33,8,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
47,Chlorprothixene,315.0854,7972886,14.971,42160491,98,6,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
202,Chlorsulfuron,357.0296,234713,12.866,1405879,99.22,8,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
173,Chlorthalidone,338.0132,123402,8.588,652116,95.78,8,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
38,Cimetidine,252.1163,1920875,1.264,18534885,97.37,6,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
113,Cinnarizine,368.2254,15611604,17.569,104619581,99.62,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
107,Ciprofloxacin hydrochloride,331.1286,789025,16.74,12064036,80.38,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
107,Ciprofloxacin hydrochloride,331.1299,2216670,6.012,12861831,73.74,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
144,Clarithromycin,747.4765,174468,14.949,919189,98.94,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
144,Clarithromycin,747.4781,18613363,13.739,106849184,97.74,7,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
36,Clomipramine,314.1553,6394240,15.307,38151494,99.14,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
54,Clonidine,229.0176,1282783,2.98,14057357,98.91,7,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
79,Clopidogrel,321.0595,5131719,13.314,38093502,98.05,6,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
31,Clozapine,326.1306,4653565,8.453,26332590,97.52,6,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
216,Creatinine,113.0592,237546,0.57,1108883,87.68,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
245,D-Pantothenic acid hemicalcium salt,219.1111,60736,1.085,352095,86.52,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
157,Detomidine hydrochloride monohydrate,186.1159,3243623,8.207,18389440,99.1,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
157,Detomidine hydrochloride monohydrate,186.1159,2854659,7.02,16087235,98.72,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
139,Dexmedetomidine hydrochloride,200.1318,1958191,9.596,11460664,97.87,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
90,Diclofenac potassium,332.9733,45414,18.42,315539,89.05,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
72,Dilevalol,328.1793,2380011,9.909,12439606,97.06,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
50,Diltiazem hydrochloride,414.1639,1060633,17.121,6263231,86.31,6,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
50,Diltiazem hydrochloride,414.1618,14128574,12.44,75490823,98.73,7,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
51,Diphenhydramine,255.1627,8714031,11.813,50559106,98.9,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
91,Disopyramide phosphate,339.2314,11887960,8.341,62295541,99.25,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
89,Doxazosin dobesilate,451.1855,59826,11.903,263294,85.41,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
89,Doxazosin dobesilate,451.1858,8580954,11.41,51469831,99.27,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
23,Doxepin,279.1628,7550442,12.261,50783922,98.92,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
183,Doxycycline hyclate,444.1534,163424,9.416,1068201,99.42,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
183,Doxycycline hyclate,444.1525,83406,9.26,654201,92.37,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
86,Enalapril maleate,492.2081,56428,17.121,382688,72.1,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
189,Enalaprilat,348.1683,102457,6.303,965842,85.12,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
109,Erythromycin,733.4599,32078,13.493,336517,93.32,6,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
109,Erythromycin,733.4613,215402,11.791,1892931,99.47,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
70,Esmolol,295.179,4420588,8.409,24027011,97.45,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
197,Ethirimol,209.1554,2627670,2.115,35190453,75.59,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
166,Ethylparaben,166.0641,181104,11.813,1045779,84.92,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
166,Ethylparaben,166.0622,61975,10.648,381985,85.57,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
166,Ethylparaben,166.0638,16026,1.062,103044,78.55,2,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
64,Famotidine,337.0453,205774,1.152,1811972,93.68,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
4,Fenbufen,254.0941,505280,14.971,2749111,97.74,7,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
199,Fluconazole,306.1038,2005211,15.643,14035332,91.69,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
199,Fluconazole,306.1041,563928,6.93,3117693,98.66,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
196,Flumequine,261.0806,1710279,11.522,10810544,97.93,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
153,Flunarizine dihydrochloride,404.207,13250001,18.286,80390132,98.58,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
287,Fluocinolone acetonide,452.2014,1558305,13.806,8729982,97.57,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
262,Flupirtine maleate,304.1343,1348973,9.864,6629573,96.89,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
200,Fomesafen,437.9901,139532,19.182,925359,99.57,7,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
154,Gemfibrozil,250.1573,4224445,7.289,25448388,98.92,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
151,Gliclazide,323.1305,2035964,15.643,14318004,98.24,7,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
116,Haloperidol,375.1405,10208183,12.485,56866458,99.08,6,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
80,Hydrochlorothiazide,296.9631,47759,12.731,315577,91.12,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
140,Hydrocortisone,362.2103,328276,10.872,1633603,82.8,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
127,Hydroxyzine dihydrochloride,374.1766,10784533,13.829,59596265,98.78,6,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
61,Ibuprofen,206.1306,143135,18.689,1037344,86.81,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
204,Imidacloprid,255.0526,853404,6.706,5112421,97.28,7,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
32,Imipramine hydrochloride,280.1944,9311393,13.65,50702352,98.9,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
108,Indapamide,365.06,904228,12.283,7163958,94.79,7,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
223,Indole-3-lactic acid,205.0752,40425,7.132,233032,81.04,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
149,Indomethacin,357.0771,335579,18.218,1955009,98.97,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
67,Indoramin,347.2002,5165740,9.976,31473251,98.82,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
288,Irbesartan,428.2329,71538,32.575,747742,82.06,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
288,Irbesartan,428.2328,4458820,13.269,24838652,98.23,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
288,Irbesartan,428.2327,5981025,11.41,35705219,79.43,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
288,Irbesartan,428.2325,42949,0.144,907302,81.35,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
146,Ketoprofen,254.0941,505280,14.971,2749111,97.74,7,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
237,Kynurenic acid,189.0426,39465,3.033,479723,92.98,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
241,L-Phenylalanine,165.0795,92625,1.174,530464,72.81,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
134,Labetalol hydrochloride,328.1793,2380011,9.909,12439606,97.06,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
119,Lidocaine hydrochloride,234.173,537725,11.096,2831741,74.95,2,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
119,Lidocaine hydrochloride,234.1726,9320,6.55,201717,71.26,2,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
119,Lidocaine hydrochloride,234.1736,4628213,5.609,30439827,98.43,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
126,Lisinopril dihydrate,405.2258,92365,4.982,682463,89.07,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
114,Loratadine,382.1447,6739037,14.277,41031321,99.33,8,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
82,Lovastatin,404.2567,1415396,21.444,10654469,98.44,8,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
208,Mefenamic acid,241.1107,46879,19.853,335123,95.26,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
209,Mefluidide,310.0596,17091,14.03,122371,81.56,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
209,Mefluidide,310.0602,1636381,12.866,9969125,98.87,8,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
84,Melatonin,232.1215,3556374,8.05,23623771,98.28,6,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
2,Meloxicam,351.035,1425088,14.523,9264811,96.95,7,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
232,Methyl alpha-D-mannopyranoside,194.0783,19287,0.614,79605,71.22,2,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
195,Methylmetsulfuron,381.0742,1139427,12.149,6681261,96.48,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
45,Metoclopramide hydrochloride,299.1406,9268540,6.415,54074623,98.29,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
142,Metoprolol tartrate,267.1834,2056969,9.596,13318994,71.08,2,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
142,Metoprolol tartrate,267.1838,4223542,7.289,25387072,98.92,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
142,Metoprolol tartrate,267.1861,4438288,6.259,28214996,79.95,3,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
155,Mexiletine hydrochloride,179.1312,1428684,7.983,7064535,98.72,4,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
230,N-(2-Furoyl)glycine,169.0375,45812,1.242,310430,97.68,5,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
93,N-(3-acetyl-4-hydroxyphenyl)butanamide,221.1057,1112900,10.133,6919703,97.64,6,1,2.1,0.552,0.04,0.05,0.8,1,30,25,ACN,0.5,2.5,2.494082146,0.578732998,1.749748313
